contentID,title,artistHost,contentType,channel,channelNumber,airTime,imageUrl,link
CNT001,Styx Exclusive Interview,Styx,music,Faction Talk,103,2026-03-27T17:00:00Z,https://img.siriusxm.com/content/styx-interview.jpg,https://www.siriusxm.com/content/styx-exclusive-interview
CNT002,Megadeth Exclusive Interview,Megadeth,music,Liquid Metal,40,2026-03-27T20:00:00Z,https://img.siriusxm.com/content/megadeth-interview.jpg,https://www.siriusxm.com/content/megadeth-exclusive-interview
CNT003,Bono Live Special Re-air,Bono,music,U2-X Radio,32,2026-04-15T21:00:00Z,https://img.siriusxm.com/content/bono-live.jpg,https://www.siriusxm.com/content/bono-live-special
CNT004,John Mayer & Harry Styles Joint Interview,John Mayer & Harry Styles,music,Hits,1,2026-04-20T19:00:00Z,https://img.siriusxm.com/content/mayer-styles-interview.jpg,https://www.siriusxm.com/content/john-mayer-harry-styles
CNT005,Mad Dog Sports Radio,Chris Mad Dog Russo,sports,Mad Dog Sports Radio,82,Daily 6:00 AM - 10:00 AM ET,https://img.siriusxm.com/content/mad-dog-sports.jpg,https://www.siriusxm.com/content/mad-dog-sports-radio
CNT006,NFL Radio Live,Various Hosts,sports,NFL Radio,88,Daily 8:00 AM - 8:00 PM ET,https://img.siriusxm.com/content/nfl-radio.jpg,https://www.siriusxm.com/content/nfl-radio-live
CNT007,Howard Stern Show,Howard Stern,podcast,Howard 100,100,Mon-Wed 7:00 AM ET,https://img.siriusxm.com/content/howard-stern.jpg,https://www.siriusxm.com/content/howard-stern-show
CNT008,Metallica Radio,Metallica,music,Liquid Metal,40,Weekends 8:00 PM ET,https://img.siriusxm.com/content/metallica-radio.jpg,https://www.siriusxm.com/content/metallica-radio
CNT009,Pop Hits Weekly,Various Artists,music,Hits,1,Fridays 8:00 PM ET,https://img.siriusxm.com/content/pop-hits.jpg,https://www.siriusxm.com/content/pop-hits-weekly
CNT010,Classic Rock Rewind,Various Artists,music,Classic Rewind,25,Daily 9:00 AM ET,https://img.siriusxm.com/content/classic-rock-rewind.jpg,https://www.siriusxm.com/content/classic-rock-rewind
