profileID,contentID,title,artistHost,contentType,listenDurationSeconds,lastListened
PID001,CNT001,Styx Exclusive Interview,Styx,music,2847,2026-03-20T18:32:00Z
PID001,CNT010,Classic Rock Rewind,Various Artists,channel,5400,2026-03-22T09:15:00Z
PID001,CNT008,Metallica Radio,Metallica,music,1200,2026-03-18T21:00:00Z
PID001,CNT009,Pop Hits Weekly,Various Artists,music,600,2026-03-15T19:45:00Z
PID002,CNT005,Mad Dog Sports Radio,Chris Mad Dog Russo,sports,7200,2026-03-24T14:00:00Z
PID002,CNT006,NFL Radio Live,Various Hosts,sports,5400,2026-03-23T16:30:00Z
PID002,CNT007,Howard Stern Show,Howard Stern,podcast,3600,2026-03-21T08:00:00Z
PID002,CNT005,Mad Dog Sports Radio,Chris Mad Dog Russo,sports,6800,2026-03-19T13:00:00Z
PID003,CNT004,John Mayer & Harry Styles Joint Interview,John Mayer & Harry Styles,music,3200,2026-03-23T20:00:00Z
PID003,CNT009,Pop Hits Weekly,Various Artists,channel,4800,2026-03-22T17:00:00Z
PID003,CNT004,John Mayer & Harry Styles Joint Interview,John Mayer & Harry Styles,music,1800,2026-03-20T15:30:00Z
PID004,CNT002,Megadeth Exclusive Interview,Megadeth,music,4200,2026-03-24T22:00:00Z
PID004,CNT008,Metallica Radio,Metallica,music,6600,2026-03-23T21:00:00Z
PID004,CNT002,Megadeth Exclusive Interview,Megadeth,music,3800,2026-03-21T19:00:00Z
PID005,CNT009,Pop Hits Weekly,Various Artists,channel,900,2026-03-22T11:00:00Z
PID005,CNT010,Classic Rock Rewind,Various Artists,channel,720,2026-03-20T10:00:00Z
