profileId,entity_id_array
069c0c67-d287-4851-b8ba-351f9ed4be89,"[{""entity_id"":""038e9a9a-4878-7561-521b-5d432a0798a0"",""entity_type"":""channel-linear"",""name"":""The 10s Spot""},{""entity_id"":""40c3d189-9611-e59f-5808-7847e294642e"",""entity_type"":""channel-linear"",""name"":""Pop2K""},{""entity_id"":""804a5411-b234-1188-27da-f01197103886"",""entity_type"":""channel-linear"",""name"":""The Spectrum""},{""entity_id"":""9e8d6f72-0b59-85cf-a222-b18d38acdc0f"",""entity_type"":""channel-linear"",""name"":""The Pulse""},{""entity_id"":""c46c9810-6274-a715-a8b9-de9d4ac33873"",""entity_type"":""channel-linear"",""name"":""Symphony Hall""},{""entity_id"":""7a642de7-c33f-a628-efb2-3d94a829d17b"",""entity_type"":""channel-linear"",""name"":""Classic Rewind""},{""entity_id"":""9759dda0-e663-9151-e830-4b4cd4684eb8"",""entity_type"":""channel-xtra"",""name"":""80s on 8 Top 100""},{""entity_id"":""194adbca-34d6-cb94-b153-3488ee563308"",""entity_type"":""channel-linear"",""name"":""SiriusXM Hits 1""},{""entity_id"":""c9256031-1123-f35f-4d49-1ba4d5379258"",""entity_type"":""channel-linear"",""name"":""90s on 9""},{""entity_id"":""cda91dcb-4098-f23e-5541-d9ccd4e80435"",""entity_type"":""channel-xtra"",""name"":""90s on 9 Just Music""},{""entity_id"":""32c4747f-8739-d578-62d8-08a92d518445"",""entity_type"":""channel-linear"",""name"":""Lithium""},{""entity_id"":""fd5740ec-7f11-0ecf-f676-46f9dc056d2c"",""entity_type"":""channel-linear"",""name"":""Alt Nation""}]"
072a6b4f-2f7b-4cbe-83c1-e9d7bbfb703a,"[{""entity_id"":""0e96d823-844f-3ab7-fdd7-5d74de02e8a7"",""entity_type"":""channel-xtra"",""name"":""Nitro""},{""entity_id"":""40c3d189-9611-e59f-5808-7847e294642e"",""entity_type"":""channel-linear"",""name"":""Pop2K""},{""entity_id"":""e4484918-45cd-b8e0-9058-b5c29710ec74"",""entity_type"":""channel-xtra"",""name"":""Octane Test Drive""},{""entity_id"":""f936a498-89c7-bc15-f158-19a015db0683"",""entity_type"":""channel-linear"",""name"":""SiriusXM Turbo""},{""entity_id"":""88a8b6eb-d649-6c32-5d55-4f196b8d2b40"",""entity_type"":""channel-xtra"",""name"":""Turbo Deep Cuts""},{""entity_id"":""d6fd521e-11fd-7ffa-d773-7aaa466cd3d6"",""entity_type"":""channel-xtra"",""name"":""2010s Hard Rock Hits""},{""entity_id"":""e4b5402c-c608-db84-ad15-4bc8e2cdccce"",""entity_type"":""channel-linear"",""name"":""Watercolors""},{""entity_id"":""54bb62a4-c098-0866-12db-bb2f4e149a3d"",""entity_type"":""channel-xtra"",""name"":""Octane Top Hits""},{""entity_id"":""bf95ab7f-4bcb-c600-1cf4-4ca33eab1a51"",""entity_type"":""channel-xtra"",""name"":""Turbo Party""},{""entity_id"":""32c4747f-8739-d578-62d8-08a92d518445"",""entity_type"":""channel-linear"",""name"":""Lithium""},{""entity_id"":""44f9129f-579a-3d23-218f-3c3518036fc6"",""entity_type"":""channel-linear"",""name"":""PopRocks""},{""entity_id"":""95ccef63-a111-09c6-5791-7f2d0337c635"",""entity_type"":""channel-xtra"",""name"":""Turbo Top 100""}]"
0958345c-ff96-4960-a81d-75152b2af8b7,"[{""entity_id"":""804a5411-b234-1188-27da-f01197103886"",""entity_type"":""channel-linear"",""name"":""The Spectrum""},{""entity_id"":""884c803d-cbd9-098b-527d-a34979274ded"",""entity_type"":""channel-linear"",""name"":""NHL Network Radio""},{""entity_id"":""93a8061c-dae0-9668-34bd-a5350770d2cb"",""entity_type"":""channel-linear"",""name"":""SmartLess Radio""},{""entity_id"":""95eb35fc-b56e-5feb-0f9e-d1106f679742"",""entity_type"":""channel-xtra"",""name"":""Lithium Stripped""},{""entity_id"":""d54094ef-b462-5a96-b54e-1d12606827ed"",""entity_type"":""channel-xtra"",""name"":""Alt Nation Adv Placement""},{""entity_id"":""a5922d75-2cca-8536-ec89-8256bcb5f6e0"",""entity_type"":""channel-xtra"",""name"":""Lithium Top 100""},{""entity_id"":""f6f4782a-9a60-6a49-197a-211afac96415"",""entity_type"":""channel-xtra"",""name"":""90s Rock & Hip-Hop""},{""entity_id"":""d0775651-a522-5ca2-7be7-20f97f37bbfb"",""entity_type"":""channel-linear"",""name"":""The Verge""},{""entity_id"":""f49737db-bea3-0c13-9834-b879fb1894c4"",""entity_type"":""channel-linear"",""name"":""SiriusXMU""},{""entity_id"":""32c4747f-8739-d578-62d8-08a92d518445"",""entity_type"":""channel-linear"",""name"":""Lithium""},{""entity_id"":""44f9129f-579a-3d23-218f-3c3518036fc6"",""entity_type"":""channel-linear"",""name"":""PopRocks""},{""entity_id"":""fd5740ec-7f11-0ecf-f676-46f9dc056d2c"",""entity_type"":""channel-linear"",""name"":""Alt Nation""}]"
0c173c1a-0186-4274-b3c3-639fb5468e1c,"[{""entity_id"":""c46c9810-6274-a715-a8b9-de9d4ac33873"",""entity_type"":""channel-linear"",""name"":""Symphony Hall""},{""entity_id"":""43993462-1c73-efb8-29e5-0c4652cf8e4f"",""entity_type"":""channel-linear"",""name"":""POTUS Politics""},{""entity_id"":""56605cc5-88b8-557b-fc3c-dae7eb41bf56"",""entity_type"":""channel-linear"",""name"":""Radio Andy""},{""entity_id"":""a7f81827-6d67-d778-e354-0ca68d1d7ec7"",""entity_type"":""channel-xtra"",""name"":""Classical Studyscape""},{""entity_id"":""b817fd55-92ac-71ae-9784-e1d8d990de30"",""entity_type"":""channel-xtra"",""name"":""Affirmations Radio""},{""entity_id"":""c2144e7c-f3b3-29b4-0ace-c7abdc77f2c9"",""entity_type"":""channel-linear"",""name"":""The Jeff Lewis Channel""},{""entity_id"":""d055fb93-81f0-5f8b-3fe0-9b245d0a6619"",""entity_type"":""channel-xtra"",""name"":""Strings""},{""entity_id"":""6de7f4f3-29bb-b224-8d5a-4dcafeee67fc"",""entity_type"":""channel-xtra"",""name"":""Music for Dogs""},{""entity_id"":""722a1329-63e3-3889-b9bc-db0c5c02464c"",""entity_type"":""channel-xtra"",""name"":""Tranquil""},{""entity_id"":""a8465da9-2ce2-9b01-6679-e67c5066697b"",""entity_type"":""channel-linear"",""name"":""SiriusXM Pops""},{""entity_id"":""ed9bb73a-24e6-7985-dc88-0015092acacc"",""entity_type"":""channel-xtra"",""name"":""Zen""},{""entity_id"":""f396533f-d05d-da8a-8d30-de6565a33221"",""entity_type"":""channel-xtra"",""name"":""Spa Instrumental""}]"
0febccbb-8693-4bc2-be8c-af9405c3e15d,"[{""entity_id"":""8d387b31-2065-7393-01c5-f86e3ea47dc9"",""entity_type"":""channel-linear"",""name"":""Utopia""},{""entity_id"":""c46c9810-6274-a715-a8b9-de9d4ac33873"",""entity_type"":""channel-linear"",""name"":""Symphony Hall""},{""entity_id"":""f3126d70-09ea-bd0c-57cd-af5ab798f313"",""entity_type"":""channel-linear"",""name"":""SiriusXM NFL Radio""},{""entity_id"":""170678e5-62e1-9117-30cf-19027d9d0a28"",""entity_type"":""channel-xtra"",""name"":""Drag Brunch""},{""entity_id"":""51f88432-8311-37e0-b57d-9b0ab63f5ce9"",""entity_type"":""channel-linear"",""name"":""ESPN Radio""},{""entity_id"":""a7f81827-6d67-d778-e354-0ca68d1d7ec7"",""entity_type"":""channel-xtra"",""name"":""Classical Studyscape""},{""entity_id"":""bf68143d-85cd-a0cf-25b3-77e72abf9cab"",""entity_type"":""channel-xtra"",""name"":""Happy Dance""},{""entity_id"":""b647fd9d-c5d4-3681-1388-c6686c889d8d"",""entity_type"":""channel-xtra"",""name"":""Cinemagic""},{""entity_id"":""d9dcf813-1a1a-2f92-a53f-e372ffc235ea"",""entity_type"":""channel-linear"",""name"":""College Sports Radio""},{""entity_id"":""e253bdca-601f-2b68-52fc-3f6a9fa33bb9"",""entity_type"":""channel-linear"",""name"":""ESPN Xtra""},{""entity_id"":""20871ee1-8eb6-7285-c842-c8a32a5a4283"",""entity_type"":""channel-xtra"",""name"":""Celebrate!""},{""entity_id"":""a8465da9-2ce2-9b01-6679-e67c5066697b"",""entity_type"":""channel-linear"",""name"":""SiriusXM Pops""}]"
11c2f418-cd1f-42cc-9b69-de8a066dd68b,"[{""entity_id"":""9737bbee-364f-05f9-fe3f-392bbbf61850"",""entity_type"":""channel-linear"",""name"":""Business Radio""},{""entity_id"":""56605cc5-88b8-557b-fc3c-dae7eb41bf56"",""entity_type"":""channel-linear"",""name"":""Radio Andy""},{""entity_id"":""7a642de7-c33f-a628-efb2-3d94a829d17b"",""entity_type"":""channel-linear"",""name"":""Classic Rewind""},{""entity_id"":""f3fec3b7-bd04-326d-808d-edf843ea2150"",""entity_type"":""channel-xtra"",""name"":""SiriusXM Southern Rock""},{""entity_id"":""2a74320f-938b-8e80-5e7f-5e8e110e1d42"",""entity_type"":""channel-linear"",""name"":""TODAY Show Radio""},{""entity_id"":""5ad8659a-414a-9e26-b973-f5a229d788dd"",""entity_type"":""channel-linear"",""name"":""Classic Vinyl""},{""entity_id"":""8ec2d70b-bd02-72d5-28ab-8a42ff358d86"",""entity_type"":""channel-xtra"",""name"":""Yacht Rock Deep Cuts""},{""entity_id"":""b647fd9d-c5d4-3681-1388-c6686c889d8d"",""entity_type"":""channel-xtra"",""name"":""Cinemagic""},{""entity_id"":""013adf53-baec-28b2-2762-5923e46b5dfe"",""entity_type"":""channel-xtra"",""name"":""80s Chillpill""},{""entity_id"":""2ea07147-a720-ed0c-d4ce-d7bddd1640d3"",""entity_type"":""channel-linear"",""name"":""80s on 8""},{""entity_id"":""3c7b2421-7ce4-0ecb-bc70-7f60f15d3d29"",""entity_type"":""channel-linear"",""name"":""CNN""},{""entity_id"":""9150cc82-af5c-3be3-d170-0e81d87375a8"",""entity_type"":""channel-linear"",""name"":""Yacht Rock Radio""}]"
177006b0-6fdb-4726-99e6-b2ff22c6cd30,"[{""entity_id"":""9e8d6f72-0b59-85cf-a222-b18d38acdc0f"",""entity_type"":""channel-linear"",""name"":""The Pulse""},{""entity_id"":""f3126d70-09ea-bd0c-57cd-af5ab798f313"",""entity_type"":""channel-linear"",""name"":""SiriusXM NFL Radio""},{""entity_id"":""21b63878-b369-1503-d1c8-6025cc8571de"",""entity_type"":""channel-linear"",""name"":""FOX Sports on SiriusXM""},{""entity_id"":""51f88432-8311-37e0-b57d-9b0ab63f5ce9"",""entity_type"":""channel-linear"",""name"":""ESPN Radio""},{""entity_id"":""a1aed141-90d4-4f65-4c58-eb0d99d8bcce"",""entity_type"":""channel-linear"",""name"":""SiriusXM Big Ten Radio""},{""entity_id"":""ab0e4302-503b-e1ff-c786-8307a3d36fe0"",""entity_type"":""channel-linear"",""name"":""SiriusXM 79""},{""entity_id"":""41f8b174-fb06-1707-aaa7-e74e109c2ee9"",""entity_type"":""channel-linear"",""name"":""The Coffee House""},{""entity_id"":""722a1329-63e3-3889-b9bc-db0c5c02464c"",""entity_type"":""channel-xtra"",""name"":""Tranquil""},{""entity_id"":""44f9129f-579a-3d23-218f-3c3518036fc6"",""entity_type"":""channel-linear"",""name"":""PopRocks""},{""entity_id"":""454db282-082e-b9a0-d099-89afbf335688"",""entity_type"":""channel-linear"",""name"":""SiriusXM SEC Radio""},{""entity_id"":""8d9c0b16-4734-3bc4-d523-7c942cf888aa"",""entity_type"":""channel-linear"",""name"":""MLB Network Radio""},{""entity_id"":""fd5740ec-7f11-0ecf-f676-46f9dc056d2c"",""entity_type"":""channel-linear"",""name"":""Alt Nation""}]"
2126abd1-25dc-4d9a-9c32-95235cca0ed4,"[{""entity_id"":""3125bac6-8975-5bda-0a5f-ba175f920bf9"",""entity_type"":""channel-xtra"",""name"":""SiriusXMU Discovery""},{""entity_id"":""21b63878-b369-1503-d1c8-6025cc8571de"",""entity_type"":""channel-linear"",""name"":""FOX Sports on SiriusXM""},{""entity_id"":""51f88432-8311-37e0-b57d-9b0ab63f5ce9"",""entity_type"":""channel-linear"",""name"":""ESPN Radio""},{""entity_id"":""a1aed141-90d4-4f65-4c58-eb0d99d8bcce"",""entity_type"":""channel-linear"",""name"":""SiriusXM Big Ten Radio""},{""entity_id"":""d9dcf813-1a1a-2f92-a53f-e372ffc235ea"",""entity_type"":""channel-linear"",""name"":""College Sports Radio""},{""entity_id"":""e253bdca-601f-2b68-52fc-3f6a9fa33bb9"",""entity_type"":""channel-linear"",""name"":""ESPN Xtra""},{""entity_id"":""f49737db-bea3-0c13-9834-b879fb1894c4"",""entity_type"":""channel-linear"",""name"":""SiriusXMU""},{""entity_id"":""2f7441a4-0d18-43ff-a574-e98217c28f4a"",""entity_type"":""channel-linear"",""name"":""SiriusXM FC""},{""entity_id"":""454db282-082e-b9a0-d099-89afbf335688"",""entity_type"":""channel-linear"",""name"":""SiriusXM SEC Radio""},{""entity_id"":""53083b46-7b29-3903-222a-3350e42eff68"",""entity_type"":""channel-linear"",""name"":""SiriusXM FC""},{""entity_id"":""abfb5780-324f-1219-48c2-c8c2445c17bd"",""entity_type"":""channel-xtra"",""name"":""Indie 1.0""},{""entity_id"":""f5701423-11a8-9ee3-e9f9-11142108ae31"",""entity_type"":""channel-linear"",""name"":""SiriusXM ACC Radio""}]"
227c6f6d-1616-4c78-98fc-cf9fc7f6d08b,"[{""entity_id"":""0a0e2928-72dd-bb4c-3cc2-910dfa506113"",""entity_type"":""channel-xtra"",""name"":""BPM Discovery""},{""entity_id"":""36415c41-0749-9004-4baa-ef0da292b2f4"",""entity_type"":""channel-xtra"",""name"":""BPM Workout""},{""entity_id"":""4abb03ff-55d9-e382-0a0d-cc9a5cc2eb80"",""entity_type"":""channel-xtra"",""name"":""BPM Top Hits""},{""entity_id"":""6adef1b5-d812-9c10-7c6c-f05af4e27077"",""entity_type"":""channel-linear"",""name"":""BPM""},{""entity_id"":""b10f1700-d575-2a1a-93c3-d5c4033ee589"",""entity_type"":""channel-xtra"",""name"":""Circuit""},{""entity_id"":""7a642de7-c33f-a628-efb2-3d94a829d17b"",""entity_type"":""channel-linear"",""name"":""Classic Rewind""},{""entity_id"":""dd0bf0c6-c979-3014-7f48-f1141fefccc6"",""entity_type"":""channel-xtra"",""name"":""The Bridge Deep Cuts""},{""entity_id"":""1898923d-071d-0abd-1a62-ed0d2702d4f1"",""entity_type"":""channel-linear"",""name"":""The Bridge""},{""entity_id"":""4ebc3011-0ebe-a9ad-c58b-9a306f60fc2b"",""entity_type"":""channel-linear"",""name"":""Diplo's Revolution""},{""entity_id"":""8ec2d70b-bd02-72d5-28ab-8a42ff358d86"",""entity_type"":""channel-xtra"",""name"":""Yacht Rock Deep Cuts""},{""entity_id"":""9150cc82-af5c-3be3-d170-0e81d87375a8"",""entity_type"":""channel-linear"",""name"":""Yacht Rock Radio""},{""entity_id"":""95d4d8ef-55e4-8337-78f1-2fda944991d8"",""entity_type"":""channel-linear"",""name"":""70s on 7""}]"
3cc2fcf5-1d34-4b79-8cc5-8fd8092bec2d,"[{""entity_id"":""0a0e2928-72dd-bb4c-3cc2-910dfa506113"",""entity_type"":""channel-xtra"",""name"":""BPM Discovery""},{""entity_id"":""36415c41-0749-9004-4baa-ef0da292b2f4"",""entity_type"":""channel-xtra"",""name"":""BPM Workout""},{""entity_id"":""4abb03ff-55d9-e382-0a0d-cc9a5cc2eb80"",""entity_type"":""channel-xtra"",""name"":""BPM Top Hits""},{""entity_id"":""834383dd-9a7e-d59e-81a2-dd13e0377af2"",""entity_type"":""channel-linear"",""name"":""SiriusXM Chill""},{""entity_id"":""b10f1700-d575-2a1a-93c3-d5c4033ee589"",""entity_type"":""channel-xtra"",""name"":""Circuit""},{""entity_id"":""0297421f-c65c-3e0c-8299-0d19bc0a89a0"",""entity_type"":""channel-xtra"",""name"":""Diplo's Run Club Radio""},{""entity_id"":""7a38c919-77fe-6627-e180-355633a0e8ec"",""entity_type"":""channel-xtra"",""name"":""Sounds of Ibiza""},{""entity_id"":""bf68143d-85cd-a0cf-25b3-77e72abf9cab"",""entity_type"":""channel-xtra"",""name"":""Happy Dance""},{""entity_id"":""4ebc3011-0ebe-a9ad-c58b-9a306f60fc2b"",""entity_type"":""channel-linear"",""name"":""Diplo's Revolution""},{""entity_id"":""6d5e6d8a-dbc8-b328-72ef-cb5e2a62a3a0"",""entity_type"":""channel-linear"",""name"":""Steve Aoki's Remix Radio""},{""entity_id"":""aac28bf2-eece-800e-0d11-957797f4b19c"",""entity_type"":""channel-xtra"",""name"":""Women of Dance""},{""entity_id"":""d6263609-da22-bf5f-774a-fc88c6e25304"",""entity_type"":""channel-xtra"",""name"":""Freestyle Dance""}]"
