profileId,entity_id_array
069c0c67-d287-4851-b8ba-351f9ed4be89,"[{""entity_id"":""28e00f6e-1096-338d-b562-5be8a8156209"",""entity_type"":""artist-station"",""name"":""Led Zeppelin""},{""entity_id"":""2e04e1a7-a158-3240-8fed-901e39c3deeb"",""entity_type"":""artist-station"",""name"":""Maroon 5""},{""entity_id"":""61d78f09-beef-3450-a863-107d4d9f3107"",""entity_type"":""artist-station"",""name"":""will.i.am""},{""entity_id"":""d285a0a0-22da-3e49-ba81-289e31fc74d7"",""entity_type"":""artist-station"",""name"":""Huey Lewis And The News""},{""entity_id"":""0151dc8f-5e14-3d35-a617-94494d281a3f"",""entity_type"":""artist-station"",""name"":""Twenty One Pilots""},{""entity_id"":""0dc38ded-21a1-30b0-afdb-d583d1a84828"",""entity_type"":""artist-station"",""name"":""Weezer""},{""entity_id"":""1724ff18-17a3-325b-ad6a-199c1e915cd5"",""entity_type"":""artist-station"",""name"":""Alanis Morissette""},{""entity_id"":""b802fa4a-2117-32c3-ad4c-216d1feaa869"",""entity_type"":""artist-station"",""name"":""Pat Benatar""},{""entity_id"":""26c35c32-f7ad-375b-9fee-2c5d632208b7"",""entity_type"":""artist-station"",""name"":""Journey""},{""entity_id"":""3a2abacb-750a-3834-9638-3b6c7b5d5fb4"",""entity_type"":""artist-station"",""name"":""Rob Thomas""},{""entity_id"":""48242285-0493-33a2-8057-46d70cfc99b0"",""entity_type"":""artist-station"",""name"":""Fastball""},{""entity_id"":""5cc43a31-c0f9-3713-b6aa-27d32600c59d"",""entity_type"":""artist-station"",""name"":""The Cranberries""},{""entity_id"":""5d38f527-a355-3977-8f8a-119154eac130"",""entity_type"":""artist-station"",""name"":""Rick Springfield""},{""entity_id"":""bf0d3dce-26f4-3bf4-8dc9-4736b17719ba"",""entity_type"":""artist-station"",""name"":""Pearl Jam""},{""entity_id"":""09422583-23bd-34ef-9e4f-2e6a59d3adb3"",""entity_type"":""artist-station"",""name"":""Hootie & The Blowfish""},{""entity_id"":""1cfff827-5833-34c9-a739-cf87b656ec66"",""entity_type"":""artist-station"",""name"":""Train""},{""entity_id"":""2b8e8048-06de-3a2a-b373-bda0756c1b8c"",""entity_type"":""artist-station"",""name"":""Counting Crows""},{""entity_id"":""45673bb2-c334-3e3e-a853-909200cdc1c2"",""entity_type"":""artist-station"",""name"":""The Cure""},{""entity_id"":""48a30adb-854f-33f8-8301-2ad09b2f3e89"",""entity_type"":""artist-station"",""name"":""Beck""},{""entity_id"":""6b22f861-a957-3b8d-9f79-0eb1507a170b"",""entity_type"":""artist-station"",""name"":""R.E.M.""}]"
072a6b4f-2f7b-4cbe-83c1-e9d7bbfb703a,"[{""entity_id"":""594118ce-97bc-3559-a521-2a0782755f92"",""entity_type"":""artist-station"",""name"":""Linkin Park""},{""entity_id"":""5d127e4b-e31e-37f3-97a8-d98b1779401b"",""entity_type"":""artist-station"",""name"":""Elton John""},{""entity_id"":""792f276c-fc29-30a5-b6a3-5941d0c27e34"",""entity_type"":""artist-station"",""name"":""Disturbed""},{""entity_id"":""7ae2eb59-12dc-3cd1-b43b-d4e079e05ce8"",""entity_type"":""artist-station"",""name"":""Neil Diamond""},{""entity_id"":""8952aa27-f017-39d9-a341-e31059d4d980"",""entity_type"":""artist-station"",""name"":""Depeche Mode""},{""entity_id"":""9c40e80c-cbdb-30fc-b635-997808c45d54"",""entity_type"":""artist-station"",""name"":""Breaking Benjamin""},{""entity_id"":""a4782dbb-d5c1-3973-9d27-d300a2a5939c"",""entity_type"":""artist-station"",""name"":""Rammstein""},{""entity_id"":""fa2623e0-aa46-3f52-84a4-31b53b826821"",""entity_type"":""artist-station"",""name"":""Staind""},{""entity_id"":""173269f1-a204-348a-a639-fed7acf11eb1"",""entity_type"":""artist-station"",""name"":""Volbeat""},{""entity_id"":""1c374c8a-297e-335a-844f-056440162f8d"",""entity_type"":""artist-station"",""name"":""ABBA""},{""entity_id"":""96a722b3-a0e1-30a6-af34-9541f48ac3c0"",""entity_type"":""artist-station"",""name"":""Seether""},{""entity_id"":""0f7dffde-73c2-362f-a4e8-1afdcfd0f073"",""entity_type"":""artist-station"",""name"":""Carpenters""},{""entity_id"":""1f45768f-16ba-36d2-9413-1d0b763237a2"",""entity_type"":""artist-station"",""name"":""Queen""},{""entity_id"":""513e6d7c-4c21-3111-bc09-93048f5e00ab"",""entity_type"":""artist-station"",""name"":""Eisbrecher""},{""entity_id"":""81e3aeee-4367-32bb-9e6c-2c3664a4f4e5"",""entity_type"":""artist-station"",""name"":""Shinedown""},{""entity_id"":""235f9c6d-5b8e-3cff-a07b-02d90d68e66c"",""entity_type"":""artist-station"",""name"":""Avenged Sevenfold""},{""entity_id"":""2b731300-6708-3ae9-9e33-1c3904235b3b"",""entity_type"":""artist-station"",""name"":""Billy Joel""},{""entity_id"":""33967aed-263b-3ce2-b6a5-cd2240e8d9df"",""entity_type"":""artist-station"",""name"":""Godsmack""},{""entity_id"":""35b97295-797f-3453-b616-e50c1d2355b3"",""entity_type"":""artist-station"",""name"":""New Order""},{""entity_id"":""adff045e-4a9a-36c4-bc24-d71d67aa535a"",""entity_type"":""artist-station"",""name"":""Five Finger Death Punch""}]"
0958345c-ff96-4960-a81d-75152b2af8b7,"[{""entity_id"":""3122b927-254e-37a7-8168-406a90780925"",""entity_type"":""artist-station"",""name"":""The Neighbourhood""},{""entity_id"":""fe5ef63a-c8bf-38b4-8273-1b53da405969"",""entity_type"":""artist-station"",""name"":""Paramore""},{""entity_id"":""0dc38ded-21a1-30b0-afdb-d583d1a84828"",""entity_type"":""artist-station"",""name"":""Weezer""},{""entity_id"":""21b0eea2-81db-325f-9479-0d8bbbbb5fbe"",""entity_type"":""artist-station"",""name"":""Cigarettes After Sex""},{""entity_id"":""2cda4b81-f74b-3df8-83ac-33c1b58fb5cf"",""entity_type"":""artist-station"",""name"":""Nirvana""},{""entity_id"":""397a1dce-ffaa-332a-9c19-050f4266ffed"",""entity_type"":""artist-station"",""name"":""Soundgarden""},{""entity_id"":""92d9590a-bc70-33ef-bef5-e65660dd82d4"",""entity_type"":""artist-station"",""name"":""Salt-N-Pepa""},{""entity_id"":""9d29657d-f5f4-38ed-9d38-e26cf6f1a61d"",""entity_type"":""artist-station"",""name"":""Fall Out Boy""},{""entity_id"":""bbbe481d-17dd-3697-9414-9e1819d9c5d1"",""entity_type"":""artist-station"",""name"":""Beach House""},{""entity_id"":""c68702ae-25f0-3534-9b68-7eca8c3166ab"",""entity_type"":""artist-station"",""name"":""Bush""},{""entity_id"":""235434ef-113f-30db-bf9f-5e95d1139f78"",""entity_type"":""artist-station"",""name"":""The Shins""},{""entity_id"":""3a2abacb-750a-3834-9638-3b6c7b5d5fb4"",""entity_type"":""artist-station"",""name"":""Rob Thomas""},{""entity_id"":""bf0d3dce-26f4-3bf4-8dc9-4736b17719ba"",""entity_type"":""artist-station"",""name"":""Pearl Jam""},{""entity_id"":""1cfff827-5833-34c9-a739-cf87b656ec66"",""entity_type"":""artist-station"",""name"":""Train""},{""entity_id"":""406641f7-f88d-3ac8-ac1a-5d5fa3af2d82"",""entity_type"":""artist-station"",""name"":""LL COOL J""},{""entity_id"":""6e6ea9b6-a37a-326b-bb6c-b496275422b8"",""entity_type"":""artist-station"",""name"":""Alice In Chains""},{""entity_id"":""d9840675-c34a-349e-93e1-4dd5a0125bc2"",""entity_type"":""artist-station"",""name"":""Mitski""},{""entity_id"":""e27b2d6e-52d5-324a-8c09-e825d79b9c75"",""entity_type"":""artist-station"",""name"":""Milky Chance""},{""entity_id"":""e637c7c2-64b6-3ed7-b30e-836f99eaa25e"",""entity_type"":""artist-station"",""name"":""Tame Impala""},{""entity_id"":""ecf1596f-f5e4-35aa-9b43-710aec012d3b"",""entity_type"":""artist-station"",""name"":""Sam Fender""}]"
0c173c1a-0186-4274-b3c3-639fb5468e1c,"[{""entity_id"":""33c263eb-6d8e-35ee-b7ea-b459a71b8dd4"",""entity_type"":""artist-station"",""name"":""Benedictine Monks of the Abbey of St. Maurice & St. Maur, Clevaux""},{""entity_id"":""7c6351a3-72ee-38d1-bba6-23fe67a84e5e"",""entity_type"":""artist-station"",""name"":""Ludwig van Beethoven""},{""entity_id"":""a93c3152-1640-3a79-8ad9-6352af64754c"",""entity_type"":""artist-station"",""name"":""Johannes Brahms""},{""entity_id"":""aea58588-2924-377b-a9e8-941b75ef9f51"",""entity_type"":""artist-station"",""name"":""Claude Debussy""},{""entity_id"":""d62b45b3-8900-3716-bdfc-0b39127fc25b"",""entity_type"":""artist-station"",""name"":""Monks Of The Abbey Of Notre Dame""},{""entity_id"":""df3210e1-ad95-3d6d-a245-6bea8e2d38bd"",""entity_type"":""artist-station"",""name"":""Philip Glass""},{""entity_id"":""014ce104-179e-353c-b0e8-7cf8521d4ed9"",""entity_type"":""artist-station"",""name"":""Richard Wagner""},{""entity_id"":""09a1575f-a173-32a0-a144-ddecb5659e4a"",""entity_type"":""artist-station"",""name"":""Wolfgang Amadeus Mozart""},{""entity_id"":""4a17d654-84ab-394a-87a3-e8bdca467dd2"",""entity_type"":""artist-station"",""name"":""The Sixteen""},{""entity_id"":""aab43f1c-34b6-3a5d-91fe-bed75fc2d715"",""entity_type"":""artist-station"",""name"":""Antonio Vivaldi""},{""entity_id"":""1b18bf01-9a34-3315-a723-8c9e16db4cca"",""entity_type"":""artist-station"",""name"":""Antonin Dvorak""},{""entity_id"":""aeb8e52c-90c3-3456-b79a-be08f8377695"",""entity_type"":""artist-station"",""name"":""The Piano Guys""},{""entity_id"":""b823a50f-ba0d-32f7-8deb-4a959a5ce913"",""entity_type"":""artist-station"",""name"":""Frédéric Chopin""},{""entity_id"":""e783d3c9-3931-3354-9ef4-c9734eeeb036"",""entity_type"":""artist-station"",""name"":""Brilliant Classics Early Italian Recorder Music""},{""entity_id"":""6c4a04e9-4797-3567-8a1e-0b1499305fc2"",""entity_type"":""artist-station"",""name"":""Boston Baroque""},{""entity_id"":""7e47b2f7-a8b4-3d7e-8f8a-d59e1658c138"",""entity_type"":""artist-station"",""name"":""Franz Schubert""},{""entity_id"":""85a09e51-253b-3a7f-b6a1-6e2708f2ea0f"",""entity_type"":""artist-station"",""name"":""Gregorian Chant""},{""entity_id"":""878d7939-3121-3fba-b370-2a4eca21af23"",""entity_type"":""artist-station"",""name"":""Fryderyk Chopin""},{""entity_id"":""9965fbd9-074e-3eb5-88ce-a5dd1094cdf8"",""entity_type"":""artist-station"",""name"":""Max Richter""},{""entity_id"":""d2d2d1cf-3346-323f-ba50-9267de6d3907"",""entity_type"":""artist-station"",""name"":""The Cistercian Monks of Stift Heiligenkreuz""}]"
0febccbb-8693-4bc2-be8c-af9405c3e15d,"[{""entity_id"":""05e04d98-abf7-3fb7-9c1c-f00076c5236b"",""entity_type"":""artist-station"",""name"":""TWRP""},{""entity_id"":""aedc5ae8-ec80-3988-8493-240a59908c9e"",""entity_type"":""artist-station"",""name"":""Kellie Pickler""},{""entity_id"":""db0274b4-185a-35d8-9f31-5da61bb1a39b"",""entity_type"":""artist-station"",""name"":""Christopher Tin""},{""entity_id"":""e1200790-ecb4-3f99-96dc-89c03ed6ae78"",""entity_type"":""artist-station"",""name"":""HAUSER""},{""entity_id"":""09a1575f-a173-32a0-a144-ddecb5659e4a"",""entity_type"":""artist-station"",""name"":""Wolfgang Amadeus Mozart""},{""entity_id"":""1b2fa5cf-8ff7-332b-805d-9d1b7d84ebb3"",""entity_type"":""artist-station"",""name"":""Ella Langley""},{""entity_id"":""7bb73006-d494-3146-acfb-1b0bf768ed5b"",""entity_type"":""artist-station"",""name"":""Luke Combs""},{""entity_id"":""88945e1c-cf3e-3f1f-af19-8e43ded0e2c8"",""entity_type"":""artist-station"",""name"":""The Boston Pops Orchestra""},{""entity_id"":""e2e25243-f3dd-3e65-a4ef-8063ea675647"",""entity_type"":""artist-station"",""name"":""Donna Summer""},{""entity_id"":""37cb3b15-86e2-3cf6-8586-238205577dba"",""entity_type"":""artist-station"",""name"":""John Williams""},{""entity_id"":""5b819308-5b41-3614-9ac0-3d3b896adea2"",""entity_type"":""artist-station"",""name"":""Dave Koz""},{""entity_id"":""9429f152-bd68-3d2d-92f9-28796ae690a7"",""entity_type"":""artist-station"",""name"":""Morgan Wallen""},{""entity_id"":""e1b0d3ed-328e-3d38-98ce-ada3158101a0"",""entity_type"":""artist-station"",""name"":""David Arkenstone""},{""entity_id"":""f058d349-db5c-3218-8e4c-27f0fe4cd019"",""entity_type"":""artist-station"",""name"":""Lalo Schifrin""},{""entity_id"":""2a39d851-535f-3388-8e77-5a56185533cc"",""entity_type"":""artist-station"",""name"":""Disco Fever""},{""entity_id"":""2b731300-6708-3ae9-9e33-1c3904235b3b"",""entity_type"":""artist-station"",""name"":""Billy Joel""},{""entity_id"":""4f55fcbe-ff44-3bc0-a826-94e0756d0046"",""entity_type"":""artist-station"",""name"":""Cincinnati Pops Orchestra""},{""entity_id"":""50f46471-b644-30ac-8c56-3da4f9d5fc29"",""entity_type"":""artist-station"",""name"":""Thomas Bergersen""},{""entity_id"":""7a7edbb3-3aa1-3246-98fb-8c0deae45686"",""entity_type"":""artist-station"",""name"":""Crystal Waters""},{""entity_id"":""9965fbd9-074e-3eb5-88ce-a5dd1094cdf8"",""entity_type"":""artist-station"",""name"":""Max Richter""}]"
11c2f418-cd1f-42cc-9b69-de8a066dd68b,"[{""entity_id"":""28e00f6e-1096-338d-b562-5be8a8156209"",""entity_type"":""artist-station"",""name"":""Led Zeppelin""},{""entity_id"":""4fa1f649-0b7c-3ffc-a141-d83f626ef758"",""entity_type"":""artist-station"",""name"":""Eagles""},{""entity_id"":""5284a7c8-7818-39cf-a72f-54a5b73ca034"",""entity_type"":""artist-station"",""name"":""Little River Band""},{""entity_id"":""5534226e-c0b0-3246-ac8a-337d79c4c1af"",""entity_type"":""artist-station"",""name"":""Fleetwood Mac""},{""entity_id"":""5d127e4b-e31e-37f3-97a8-d98b1779401b"",""entity_type"":""artist-station"",""name"":""Elton John""},{""entity_id"":""b2d18d85-6326-3dfb-9b87-85afaeabd598"",""entity_type"":""artist-station"",""name"":""Toto""},{""entity_id"":""e23e1fc2-13c7-3603-a220-88aa468514b9"",""entity_type"":""artist-station"",""name"":""The Beatles""},{""entity_id"":""e9024e72-45d4-31e6-89f5-c2885bc87cc3"",""entity_type"":""artist-station"",""name"":""Foreigner""},{""entity_id"":""449a7b59-8e73-3d5a-a687-a4a65addf3df"",""entity_type"":""artist-station"",""name"":""Christopher Cross""},{""entity_id"":""75119286-f8df-3465-a845-310071f5a25b"",""entity_type"":""artist-station"",""name"":""Aerosmith""},{""entity_id"":""c2902a56-faa0-3d5a-a4c6-b8428c2adbeb"",""entity_type"":""artist-station"",""name"":""Steely Dan""},{""entity_id"":""1f45768f-16ba-36d2-9413-1d0b763237a2"",""entity_type"":""artist-station"",""name"":""Queen""},{""entity_id"":""26c35c32-f7ad-375b-9fee-2c5d632208b7"",""entity_type"":""artist-station"",""name"":""Journey""},{""entity_id"":""52a59010-b7ee-3203-a446-783323df6f01"",""entity_type"":""artist-station"",""name"":""Daryl Hall & John Oates""},{""entity_id"":""29a126ba-7bec-34cd-8df0-9354aba14fe5"",""entity_type"":""artist-station"",""name"":""Pink Floyd""},{""entity_id"":""2b731300-6708-3ae9-9e33-1c3904235b3b"",""entity_type"":""artist-station"",""name"":""Billy Joel""},{""entity_id"":""b8617d24-1274-35d4-ae3e-9f8b9f1bf9b0"",""entity_type"":""artist-station"",""name"":""Seals & Crofts""},{""entity_id"":""e98a5abc-5ea4-3290-8f2f-702cdbcd1943"",""entity_type"":""artist-station"",""name"":""Ambrosia""},{""entity_id"":""e9ed01cf-f4bb-31ee-ab3c-35f5986a06c6"",""entity_type"":""artist-station"",""name"":""America""},{""entity_id"":""ea4ca2ba-fe4d-39f7-8bf8-9d91fb6ebc3b"",""entity_type"":""artist-station"",""name"":""The Doobie Brothers""}]"
177006b0-6fdb-4726-99e6-b2ff22c6cd30,"[{""entity_id"":""3d73ccf0-d53e-32cd-adbb-3a69758778ac"",""entity_type"":""artist-station"",""name"":""blink-182""},{""entity_id"":""473393bc-448d-3165-990a-4db2f2c56868"",""entity_type"":""artist-station"",""name"":""Hilary Duff""},{""entity_id"":""4b928cc1-413f-3472-9037-67c05dccde63"",""entity_type"":""artist-station"",""name"":""Ziggy Alberts""},{""entity_id"":""5d9f1631-ef62-3e1a-b5e7-7eeaafd5e178"",""entity_type"":""artist-station"",""name"":""Kelly Clarkson""},{""entity_id"":""62952aa2-08df-375d-93e7-ef3b9718b709"",""entity_type"":""artist-station"",""name"":""Ed Sheeran""},{""entity_id"":""d44aac6f-4497-3ce5-a405-ac9109dc782e"",""entity_type"":""artist-station"",""name"":""Noah Kahan""},{""entity_id"":""02048832-038e-3b85-b828-a269b3a183cf"",""entity_type"":""artist-station"",""name"":""Michael Marcagi""},{""entity_id"":""6684e157-f191-3978-a8be-adddcafb8526"",""entity_type"":""artist-station"",""name"":""Green Day""},{""entity_id"":""69bd6722-2996-3734-b122-cc24543326c7"",""entity_type"":""artist-station"",""name"":""Backstreet Boys""},{""entity_id"":""394672a8-7ad9-3af9-88e2-947bc4c52e29"",""entity_type"":""artist-station"",""name"":""Avril Lavigne""},{""entity_id"":""3a2abacb-750a-3834-9638-3b6c7b5d5fb4"",""entity_type"":""artist-station"",""name"":""Rob Thomas""},{""entity_id"":""3dca5a2a-e178-3738-aa0b-b8feb2c92154"",""entity_type"":""artist-station"",""name"":""Jack Johnson""},{""entity_id"":""9232af8a-8c32-3c1a-ba0d-f1cebacbc319"",""entity_type"":""artist-station"",""name"":""Miley Cyrus""},{""entity_id"":""99aa16c5-9e01-3770-b00c-c6479d7e742e"",""entity_type"":""artist-station"",""name"":""My Chemical Romance""},{""entity_id"":""b03b3213-869e-3cf1-924b-fbdb80544bb2"",""entity_type"":""artist-station"",""name"":""Taking Back Sunday""},{""entity_id"":""cf2b2557-d8f4-3905-8e15-f2fcaca28eb8"",""entity_type"":""artist-station"",""name"":""BTS""},{""entity_id"":""053c0cc6-7840-35ea-8ffd-07ee0192b29b"",""entity_type"":""artist-station"",""name"":""Jesse McCartney""},{""entity_id"":""1cfff827-5833-34c9-a739-cf87b656ec66"",""entity_type"":""artist-station"",""name"":""Train""},{""entity_id"":""44bcccb4-2fb9-393d-8394-b760a7170c69"",""entity_type"":""artist-station"",""name"":""Britney Spears""},{""entity_id"":""ef80e255-d3fd-3da4-989d-376ac71b0cf7"",""entity_type"":""artist-station"",""name"":""Lisa Loeb""}]"
2126abd1-25dc-4d9a-9c32-95235cca0ed4,"[{""entity_id"":""3122b927-254e-37a7-8168-406a90780925"",""entity_type"":""artist-station"",""name"":""The Neighbourhood""},{""entity_id"":""80b12f56-57e8-3794-b89a-3b1df85bea27"",""entity_type"":""artist-station"",""name"":""Chris Isaak""},{""entity_id"":""e967dcfe-d2e9-3a86-8234-4d74d1852c4e"",""entity_type"":""artist-station"",""name"":""Stereolab""},{""entity_id"":""21b0eea2-81db-325f-9479-0d8bbbbb5fbe"",""entity_type"":""artist-station"",""name"":""Cigarettes After Sex""},{""entity_id"":""2cc733ec-00c4-32e0-aaaa-c5e7627fbc64"",""entity_type"":""artist-station"",""name"":""Of Monsters and Men""},{""entity_id"":""574fb8e1-933c-31a4-a06f-31315fe08ea2"",""entity_type"":""artist-station"",""name"":""Pavement""},{""entity_id"":""97953091-f832-31ae-88f8-5a859e3d6a26"",""entity_type"":""artist-station"",""name"":""Bob Mould""},{""entity_id"":""9d29657d-f5f4-38ed-9d38-e26cf6f1a61d"",""entity_type"":""artist-station"",""name"":""Fall Out Boy""},{""entity_id"":""bbbe481d-17dd-3697-9414-9e1819d9c5d1"",""entity_type"":""artist-station"",""name"":""Beach House""},{""entity_id"":""e3e05fb4-191f-39a2-b9a2-705aa56795c9"",""entity_type"":""artist-station"",""name"":""Dinosaur Jr.""},{""entity_id"":""35f6af44-d2e7-330e-b347-3d53deeeb066"",""entity_type"":""artist-station"",""name"":""Cocteau Twins""},{""entity_id"":""3a2abacb-750a-3834-9638-3b6c7b5d5fb4"",""entity_type"":""artist-station"",""name"":""Rob Thomas""},{""entity_id"":""09422583-23bd-34ef-9e4f-2e6a59d3adb3"",""entity_type"":""artist-station"",""name"":""Hootie & The Blowfish""},{""entity_id"":""11e119a9-2ce7-302e-b3ba-dc402f29ec82"",""entity_type"":""artist-station"",""name"":""Panic! At The Disco""},{""entity_id"":""1cfff827-5833-34c9-a739-cf87b656ec66"",""entity_type"":""artist-station"",""name"":""Train""},{""entity_id"":""24d5353a-b97b-3994-b71d-7be65b0664fd"",""entity_type"":""artist-station"",""name"":""Cowboy Junkies""},{""entity_id"":""2b8e8048-06de-3a2a-b373-bda0756c1b8c"",""entity_type"":""artist-station"",""name"":""Counting Crows""},{""entity_id"":""48a30adb-854f-33f8-8301-2ad09b2f3e89"",""entity_type"":""artist-station"",""name"":""Beck""},{""entity_id"":""6b22f861-a957-3b8d-9f79-0eb1507a170b"",""entity_type"":""artist-station"",""name"":""R.E.M.""},{""entity_id"":""b95c81ba-62ee-3f25-a3f2-13402e9d795b"",""entity_type"":""artist-station"",""name"":""The Smiths""}]"
227c6f6d-1616-4c78-98fc-cf9fc7f6d08b,"[{""entity_id"":""0c63a2ca-162f-383f-b78c-76621e9e3474"",""entity_type"":""artist-station"",""name"":""Bob Moses""},{""entity_id"":""4fa1f649-0b7c-3ffc-a141-d83f626ef758"",""entity_type"":""artist-station"",""name"":""Eagles""},{""entity_id"":""5534226e-c0b0-3246-ac8a-337d79c4c1af"",""entity_type"":""artist-station"",""name"":""Fleetwood Mac""},{""entity_id"":""5d127e4b-e31e-37f3-97a8-d98b1779401b"",""entity_type"":""artist-station"",""name"":""Elton John""},{""entity_id"":""a079f85b-5e09-34af-9cd0-64197cd91305"",""entity_type"":""artist-station"",""name"":""Tiësto""},{""entity_id"":""c2db354f-23bb-310e-8144-7a1a53e2dfbd"",""entity_type"":""artist-station"",""name"":""Nora En Pure""},{""entity_id"":""c7e81c57-33f5-38ca-9b25-59ef4deb98c9"",""entity_type"":""artist-station"",""name"":""RÜFÜS DU SOL""},{""entity_id"":""e446b9a7-a441-3ff1-bae7-1a8aed65410b"",""entity_type"":""artist-station"",""name"":""Kygo""},{""entity_id"":""306be941-0066-3677-83c8-ec0d0fb2b7ff"",""entity_type"":""artist-station"",""name"":""Jackson Browne""},{""entity_id"":""4f6abdbf-b055-31bb-a0cc-19a6249c62b6"",""entity_type"":""artist-station"",""name"":""Dan Fogelberg""},{""entity_id"":""5b6b0965-4379-324c-a9d2-ca683d9fcf08"",""entity_type"":""artist-station"",""name"":""Paul Simon""},{""entity_id"":""746181df-026a-36c9-8dc0-e18d59239a25"",""entity_type"":""artist-station"",""name"":""The Chainsmokers""},{""entity_id"":""889a9a70-af9d-3b12-ba24-363e07e0ba49"",""entity_type"":""artist-station"",""name"":""Rod Stewart""},{""entity_id"":""c2902a56-faa0-3d5a-a4c6-b8428c2adbeb"",""entity_type"":""artist-station"",""name"":""Steely Dan""},{""entity_id"":""f8e9d340-98ab-3d02-884c-5c9c31977f4f"",""entity_type"":""artist-station"",""name"":""Steve Aoki""},{""entity_id"":""5ffb0106-c8fe-3d9e-b512-0b3bb55c7543"",""entity_type"":""artist-station"",""name"":""Two Friends""},{""entity_id"":""ced4edd5-4384-3eac-bfa1-3a415e8149eb"",""entity_type"":""artist-station"",""name"":""Armin Van Buuren""},{""entity_id"":""2b731300-6708-3ae9-9e33-1c3904235b3b"",""entity_type"":""artist-station"",""name"":""Billy Joel""},{""entity_id"":""4ec7d697-42ff-34e9-8546-ecd6da0030d2"",""entity_type"":""artist-station"",""name"":""David Guetta""},{""entity_id"":""b8617d24-1274-35d4-ae3e-9f8b9f1bf9b0"",""entity_type"":""artist-station"",""name"":""Seals & Crofts""}]"
3cc2fcf5-1d34-4b79-8cc5-8fd8092bec2d,"[{""entity_id"":""1fd51488-aa00-3a6a-b809-e4d5b7962b1f"",""entity_type"":""artist-station"",""name"":""Niykee Heaton""},{""entity_id"":""32d3c802-5de2-33f8-a526-65d1e8242ef9"",""entity_type"":""artist-station"",""name"":""Halsey""},{""entity_id"":""65f9d5c9-a1b3-3f5d-b600-14230812c6d6"",""entity_type"":""artist-station"",""name"":""SLANDER""},{""entity_id"":""6eb39077-3911-3c63-a7cf-1c004ea68a64"",""entity_type"":""artist-station"",""name"":""Tate McRae""},{""entity_id"":""a44ed062-15b3-30ec-8e5d-10646bdbaee2"",""entity_type"":""artist-station"",""name"":""Alaska Thunderfuck""},{""entity_id"":""cfcec537-ed3c-3b10-ac80-d3c55263298f"",""entity_type"":""artist-station"",""name"":""Diplo""},{""entity_id"":""d3cf90b4-9d9f-3db3-bf4b-150b49fe72a8"",""entity_type"":""artist-station"",""name"":""Marshmello""},{""entity_id"":""176978ec-45bf-34bb-a5ed-8474e6542518"",""entity_type"":""artist-station"",""name"":""Skrillex""},{""entity_id"":""3e8d6da8-bb45-3f75-8761-2e6f4dc35046"",""entity_type"":""artist-station"",""name"":""Tones And I""},{""entity_id"":""483a3555-da16-3431-b6a4-71386ede704c"",""entity_type"":""artist-station"",""name"":""ILLENIUM""},{""entity_id"":""746181df-026a-36c9-8dc0-e18d59239a25"",""entity_type"":""artist-station"",""name"":""The Chainsmokers""},{""entity_id"":""873b57f8-ed65-3261-8723-7ebb89d97e5c"",""entity_type"":""artist-station"",""name"":""Bebe Rexha""},{""entity_id"":""a7c03704-a966-3a44-a22f-f3e9716fb4e5"",""entity_type"":""artist-station"",""name"":""Tropkillaz""},{""entity_id"":""bca42b23-e654-30dc-8e9c-e0b88d5cd19b"",""entity_type"":""artist-station"",""name"":""Ava Max""},{""entity_id"":""6fbb7416-0f67-32e7-9f24-7d534d59a2f5"",""entity_type"":""artist-station"",""name"":""Zeds Dead""},{""entity_id"":""9232af8a-8c32-3c1a-ba0d-f1cebacbc319"",""entity_type"":""artist-station"",""name"":""Miley Cyrus""},{""entity_id"":""40b6d289-28ff-3e13-9dde-8c6dfae7a9e3"",""entity_type"":""artist-station"",""name"":""Fred again..""},{""entity_id"":""697ea270-7cd6-3b0d-b4e6-e7355069a798"",""entity_type"":""artist-station"",""name"":""Camila Cabello""},{""entity_id"":""91b2381b-1324-3802-8444-3feaa0dcaed7"",""entity_type"":""artist-station"",""name"":""Dua Lipa""},{""entity_id"":""ea0fb839-cbc9-3a5a-922b-a9998f4886bb"",""entity_type"":""artist-station"",""name"":""TroyBoi""}]"
