profile_id,teams_entity_id_array
072a6b4f-2f7b-4cbe-83c1-e9d7bbfb703a,"[{""entity_id"":""1fcfd86d-8d33-c7ba-7284-0463535c1e84"",""entity_type"":""team"",""name"":""New York Yankees""},{""entity_id"":""cf3bd921-c50f-f370-26e8-a011fcaefafa"",""entity_type"":""team"",""name"":""Boston Red Sox""},{""entity_id"":""e407e3c3-0bba-3197-74cc-4bea015df657"",""entity_type"":""team"",""name"":""Boston Celtics""},{""entity_id"":""ff84fb0e-0bc9-eebe-4f58-78aeb678613c"",""entity_type"":""team"",""name"":""Chicago Bulls""}]"
0febccbb-8693-4bc2-be8c-af9405c3e15d,"[{""entity_id"":""c9809a27-1e90-48ce-451a-f29ec772a97a"",""entity_type"":""team"",""name"":""San Francisco 49ers""},{""entity_id"":""d3fd68e6-7561-dfd0-4f77-1679ef25707c"",""entity_type"":""team"",""name"":""Seattle Seahawks""},{""entity_id"":""53e1df98-119f-1a68-f8c3-5b3efefbcc99"",""entity_type"":""team"",""name"":""New England Patriots""}]"
11c2f418-cd1f-42cc-9b69-de8a066dd68b,"[{""entity_id"":""b59aecfd-ec56-d90f-176b-c88a656bd4c3"",""entity_type"":""team"",""name"":""New York Mets""}]"
2126abd1-25dc-4d9a-9c32-95235cca0ed4,"[{""entity_id"":""59b68db0-3ae1-41bf-08f4-9775658eb47b"",""entity_type"":""team"",""name"":""Colorado Avalanche""},{""entity_id"":""a0d9c7e6-9a26-d077-00c4-96c3731e1cb7"",""entity_type"":""team"",""name"":""New Jersey Devils""}]"
2ca8edbc-dcfc-42b3-a3eb-a0d53b027462,"[{""entity_id"":""e407e3c3-0bba-3197-74cc-4bea015df657"",""entity_type"":""team"",""name"":""Boston Celtics""},{""entity_id"":""a66b67f9-5408-675e-9e02-3db1dd029b4d"",""entity_type"":""team"",""name"":""New York Knicks""}]"
2dbe2ddc-56c7-459f-b125-336c5abaa23a,"[{""entity_id"":""668fcd9d-b8ab-3990-35c6-c0a2b16ccccd"",""entity_type"":""team"",""name"":""Toronto Maple Leafs""},{""entity_id"":""30a0b96e-b5de-b744-ab5f-1128673ed4bc"",""entity_type"":""team"",""name"":""Toronto Blue Jays""}]"
3db3340c-78c9-4a96-bb43-b91e213d445f,"[{""entity_id"":""3937b782-f2f1-5b8d-afbc-defe32805743"",""entity_type"":""team"",""name"":""Houston Astros""},{""entity_id"":""5f3059d7-025e-92e0-cc34-69d0fc958747"",""entity_type"":""team"",""name"":""New York Rangers""}]"
3deab839-6cbe-4a2c-ab40-a780083803f3,"[{""entity_id"":""b83a853d-c1f5-c281-20f4-286cd331d220"",""entity_type"":""team"",""name"":""Minnesota Twins""}]"
45bfb32e-a283-49bc-a366-06ece37707a7,"[{""entity_id"":""f2ed6494-a199-925e-30e5-061a7f070683"",""entity_type"":""team"",""name"":""Golden State Warriors""},{""entity_id"":""e407e3c3-0bba-3197-74cc-4bea015df657"",""entity_type"":""team"",""name"":""Boston Celtics""}]"
62c4af1d-d72b-4659-b5ab-380679239f2b,"[{""entity_id"":""5f3059d7-025e-92e0-cc34-69d0fc958747"",""entity_type"":""team"",""name"":""New York Rangers""},{""entity_id"":""73ba0cc6-4b58-8efb-7ac2-93bff4f28771"",""entity_type"":""team"",""name"":""Minnesota Wild""},{""entity_id"":""47019848-1552-71da-2b92-a148aec52af5"",""entity_type"":""team"",""name"":""New York Giants""}]"
