channel_entity_id,channel_entity_type,channel_name,channel_number,super_category_term,category_term,genre_entity_id,genre_entity_name,channel_description,channel_image_url,player_landing_page,score
a62ffa9f-e016-5693-adcb-c76c328e1bee,channel-linear,50s Gold,72,Music,Pop,01fb7922-67c8-44db-86f0-bd989290841d,50s,"50s pop, rock & doo-wop hits",aem/2d/2df163ad3456ff1163360e9e02f2147e_1699375154.jpeg,https://www.siriusxm.com/player/channel-linear/entity/a62ffa9f-e016-5693-adcb-c76c328e1bee,1
38dccb7c-6e3c-1473-d0db-0b3b8b999707,channel-linear,Siriusly Sinatra,70,Music,Jazz/Standards/Classical,01fb7922-67c8-44db-86f0-bd989290841d,50s,Standards by Sinatra & more,aem/21/217de62000134604b8447ca5070e3070_1699375938.jpeg,https://www.siriusxm.com/player/channel-linear/entity/38dccb7c-6e3c-1473-d0db-0b3b8b999707,1
c4406844-de06-901b-6b4f-02420e2bd2d6,channel-linear,BB King's Bluesville,75,Music,Jazz/Standards/Classical,01fb7922-67c8-44db-86f0-bd989290841d,50s,Blues from past to present,aem/13/13d7642597eb71685b6d76f5f999807b_1699376127.jpeg,https://www.siriusxm.com/player/channel-linear/entity/c4406844-de06-901b-6b4f-02420e2bd2d6,0.7016151493517555
a96c9390-313c-3a51-5dac-953504f4f237,channel-linear,Elvis Radio,76,Music,Pop,01fb7922-67c8-44db-86f0-bd989290841d,50s,Elvis 24/7 live from Graceland,if/22/2248e13a1b413f43b254913d57e26e4a_1755539481.jpg,https://www.siriusxm.com/player/channel-linear/entity/a96c9390-313c-3a51-5dac-953504f4f237,0.6978995045188734
05cd3a1a-d292-3b8e-e8c9-1566d0726994,channel-linear,SiriusXM FLY,50,Music,Hip-Hop/R&B,026f7d27-5e9b-42c9-b9a5-aafb4ad27565,Hip-Hop,90s/00s hip-hop/R&B (explicit),aem/b9/b9d3b07a5174ea2e2879cf6b26b97d8a_1712942245.jpeg,https://www.siriusxm.com/player/channel-linear/entity/05cd3a1a-d292-3b8e-e8c9-1566d0726994,1
c2a517d4-c02f-06eb-77cf-f81bfa719188,channel-linear,The Heat,46,Music,Hip-Hop/R&B,026f7d27-5e9b-42c9-b9a5-aafb4ad27565,Hip-Hop,Today’s hottest R&B and hip-hop,aem/9c/9c0a7c2889ff399b130b9db7b96ccb17_1699375857.jpeg,https://www.siriusxm.com/player/channel-linear/entity/c2a517d4-c02f-06eb-77cf-f81bfa719188,1
2022dfab-580f-675f-6aad-00aad9c3be9b,channel-linear,Shade 45,45,Music,Hip-Hop/R&B,026f7d27-5e9b-42c9-b9a5-aafb4ad27565,Hip-Hop,Eminem's channel (explicit),aem/d8/d8281f0989e98ed43b28cdedafb94fb9_1699375988.jpeg,https://www.siriusxm.com/player/channel-linear/entity/2022dfab-580f-675f-6aad-00aad9c3be9b,1
847b22e6-1d35-b5b3-92f4-0c5e4e7b9040,channel-linear,Flex2K,49,Music,Hip-Hop/R&B,026f7d27-5e9b-42c9-b9a5-aafb4ad27565,Hip-Hop,2000s hip-hop hits (explicit),aem/fc/fc11dd75dea2675b36b10c7c2caefe8f_1723839408.jpeg,https://www.siriusxm.com/player/channel-linear/entity/847b22e6-1d35-b5b3-92f4-0c5e4e7b9040,0.9991774329178749
bd54fc02-e063-0e3e-0cbb-4ceafef734e7,channel-linear,Hip-Hop Nation,44,Music,Hip-Hop/R&B,026f7d27-5e9b-42c9-b9a5-aafb4ad27565,Hip-Hop,Hip-hop hits (explicit),aem/97/9783a0cd73939cfc729b0132bf75edfc_1699376080.jpeg,https://www.siriusxm.com/player/channel-linear/entity/bd54fc02-e063-0e3e-0cbb-4ceafef734e7,0.7317022512535731
881c9b1f-e7fd-4637-b87a-0dd06f1831a5,channel-linear,Bob Marley's Tuff Gong,19,Music,Rock,03a7dd65-dc18-4569-93ed-70cc2fdc938f,Reggae,"Bob's hits, family music & more",aem/e2/e2775ffe84673909184083256c4d5e8d_1728513801.jpeg,https://www.siriusxm.com/player/channel-linear/entity/881c9b1f-e7fd-4637-b87a-0dd06f1831a5,1
ac00ab0c-0a60-63bb-32fe-44e8b9be24fd,channel-linear,Shaggy Boombastic Radio,332,Music,Hip-Hop/R&B,03a7dd65-dc18-4569-93ed-70cc2fdc938f,Reggae,"Dancehall, Reggae & Afrobeats",aem/bb/bbfcd4e79474b9b09d55fd433733f545_1723834650.jpeg,https://www.siriusxm.com/player/channel-linear/entity/ac00ab0c-0a60-63bb-32fe-44e8b9be24fd,0.6560823973372203
