channel_entity_id,channel_entity_type,channel_name,channel_number,super_category_term,category_term,channel_description,channel_image_url,player_landing_page
e5285a3c-56c4-71f9-8727-218d6ce7cc04,channel-linear,SiriusXM Preview,1,Talk,Entertainment,null,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJpZi80Ni80Njc5NGNlZmFiMjMzN2EwYjNhMThjMGYzNDk0MzY2Ml8xNzQ1NDE5OTcxLmpwZWciLCJlZGl0cyI6W3siZm9ybWF0Ijp7InR5cGUiOiJqcGVnIn19LHsicmVzaXplIjp7IndpZHRoIjo2MDAsImhlaWdodCI6NjAwfX1dfQ==,https://www.siriusxm.com/player/channel-linear/entity/e5285a3c-56c4-71f9-8727-218d6ce7cc04
194adbca-34d6-cb94-b153-3488ee563308,channel-linear,SiriusXM Hits 1,2,Music,Pop,"Pop hits, now to next",https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJpZi8zMy8zM2RkZGExNDFlYjAzMTllYTJmMzY1Y2NlZmM5YzcxOV8xNzU2MzQ1OTQ1LnBuZyIsImVkaXRzIjpbeyJmb3JtYXQiOnsidHlwZSI6ImpwZWcifX0seyJyZXNpemUiOnsid2lkdGgiOjYwMCwiaGVpZ2h0Ijo2MDB9fV19,https://www.siriusxm.com/player/channel-linear/entity/194adbca-34d6-cb94-b153-3488ee563308
c4c36606-49ca-b948-c7ba-019f13a451a2,channel-linear,Top 40 Hits,2,Music,Pop,Today's pop hits,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJhZW0vNjYvNjZlYzdiNWYzYWJkMmIwMjVhMTFlNTVjMjZhZmI3MzdfMTY5OTM3NjEzNC5qcGVnIiwiZWRpdHMiOlt7ImZvcm1hdCI6eyJ0eXBlIjoianBlZyJ9fSx7InJlc2l6ZSI6eyJ3aWR0aCI6NjAwLCJoZWlnaHQiOjYwMH19XX0=,https://www.siriusxm.com/player/channel-linear/entity/c4c36606-49ca-b948-c7ba-019f13a451a2
98672b8b-d1ec-9286-7a7f-b829a617500b,channel-linear,Unwell Music,3,Music,Pop,Alex Cooper's faves (explicit),https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJpZi9mNy9mNzMxOTI5YWViZWEzZjYyOTY3ZDZhOGQ4Y2M1ZTVkOF8xNzcyNzQ5Mjc2LnBuZyIsImVkaXRzIjpbeyJmb3JtYXQiOnsidHlwZSI6ImpwZWcifX0seyJyZXNpemUiOnsid2lkdGgiOjYwMCwiaGVpZ2h0Ijo2MDB9fV19,https://www.siriusxm.com/player/channel-linear/entity/98672b8b-d1ec-9286-7a7f-b829a617500b
916d7bd2-33ad-2fac-5787-cc1865a499be,channel-linear,Life with John Mayer,4,Music,Pop,The ever-changing playlist,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJpZi8wZi8wZjYwYzM4YjY3MGIzN2ZiOWEwZDg2YTUyM2U4Y2FjNV8xNzY0MTg0NTkyLmpwZyIsImVkaXRzIjpbeyJmb3JtYXQiOnsidHlwZSI6ImpwZWcifX0seyJyZXNpemUiOnsid2lkdGgiOjYwMCwiaGVpZ2h0Ijo2MDB9fV19,https://www.siriusxm.com/player/channel-linear/entity/916d7bd2-33ad-2fac-5787-cc1865a499be
9e8d6f72-0b59-85cf-a222-b18d38acdc0f,channel-linear,The Pulse,5,Music,Pop,Today’s pop music,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJpZi9hZS9hZWVkYWVkMzdmNGUzM2MwYmVmNDE3MWNiMWMzM2UyOF8xNzY2ODIxNTU1LnBuZyIsImVkaXRzIjpbeyJmb3JtYXQiOnsidHlwZSI6ImpwZWcifX0seyJyZXNpemUiOnsid2lkdGgiOjYwMCwiaGVpZ2h0Ijo2MDB9fV19,https://www.siriusxm.com/player/channel-linear/entity/9e8d6f72-0b59-85cf-a222-b18d38acdc0f
1856d440-921d-59a7-c406-33adffb3d257,channel-linear,Pop Mix Modern,5,Music,Pop,Adult Pop Hits,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJhZW0vYmMvYmMxZjM5YTExZWRiYzA1YjJmNTU2MDQ1YzNiZjBjZDhfMTY5OTM3NTI1Mi5qcGVnIiwiZWRpdHMiOlt7ImZvcm1hdCI6eyJ0eXBlIjoianBlZyJ9fSx7InJlc2l6ZSI6eyJ3aWR0aCI6NjAwLCJoZWlnaHQiOjYwMH19XX0=,https://www.siriusxm.com/player/channel-linear/entity/1856d440-921d-59a7-c406-33adffb3d257
44f9129f-579a-3d23-218f-3c3518036fc6,channel-linear,PopRocks,6,Music,Pop,90s & 2000s pop/rock hits,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJhZW0vMmQvMmQ4YmYyNGIzNTZlODkzMDUzY2Q4NTdlMGY4MDAxZThfMTczMjAzOTk2Ni5qcGVnIiwiZWRpdHMiOlt7ImZvcm1hdCI6eyJ0eXBlIjoianBlZyJ9fSx7InJlc2l6ZSI6eyJ3aWR0aCI6NjAwLCJoZWlnaHQiOjYwMH19XX0=,https://www.siriusxm.com/player/channel-linear/entity/44f9129f-579a-3d23-218f-3c3518036fc6
95d4d8ef-55e4-8337-78f1-2fda944991d8,channel-linear,70s on 7,7,Music,Pop,The biggest & best 70s pop,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJhZW0vNWEvNWE1MTdkYjk1MDNmMjBlZGI1YzcyMzZkY2ZmMDc1ZGVfMTczMjAzOTk1My5qcGVnIiwiZWRpdHMiOlt7ImZvcm1hdCI6eyJ0eXBlIjoianBlZyJ9fSx7InJlc2l6ZSI6eyJ3aWR0aCI6NjAwLCJoZWlnaHQiOjYwMH19XX0=,https://www.siriusxm.com/player/channel-linear/entity/95d4d8ef-55e4-8337-78f1-2fda944991d8
255e782d-e5a6-6235-209c-08cfbdd9349f,channel-linear,70s Pop Hits,7,Music,Pop,The biggest & best 70s pop,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJhZW0vMWEvMWExMTMyOWVhNGY2ODI4OTdiMmZlZTdhMjJlMjg2MjJfMTY5OTM3NTI1NC5qcGVnIiwiZWRpdHMiOlt7ImZvcm1hdCI6eyJ0eXBlIjoianBlZyJ9fSx7InJlc2l6ZSI6eyJ3aWR0aCI6NjAwLCJoZWlnaHQiOjYwMH19XX0=,https://www.siriusxm.com/player/channel-linear/entity/255e782d-e5a6-6235-209c-08cfbdd9349f
