seed_entity_id,seed_entity_type,seed_entity_name,entity_id_array
01fb7922-67c8-44db-86f0-bd989290841d,genre,50s,"[{""entity_id"":""a62ffa9f-e016-5693-adcb-c76c328e1bee"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""50s Gold""},{""entity_id"":""38dccb7c-6e3c-1473-d0db-0b3b8b999707"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""Siriusly Sinatra""},{""entity_id"":""c4406844-de06-901b-6b4f-02420e2bd2d6"",""entity_type"":""channel-linear"",""score"":0.7016151493517555,""entity_name"":""BB King's Bluesville""},{""entity_id"":""a96c9390-313c-3a51-5dac-953504f4f237"",""entity_type"":""channel-linear"",""score"":0.6978995045188734,""entity_name"":""Elvis Radio""}]"
026f7d27-5e9b-42c9-b9a5-aafb4ad27565,genre,Hip-Hop,"[{""entity_id"":""05cd3a1a-d292-3b8e-e8c9-1566d0726994"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""SiriusXM FLY""},{""entity_id"":""c2a517d4-c02f-06eb-77cf-f81bfa719188"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""The Heat""},{""entity_id"":""2022dfab-580f-675f-6aad-00aad9c3be9b"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""Shade 45""},{""entity_id"":""847b22e6-1d35-b5b3-92f4-0c5e4e7b9040"",""entity_type"":""channel-linear"",""score"":0.9991774329178749,""entity_name"":""Flex2K""},{""entity_id"":""bd54fc02-e063-0e3e-0cbb-4ceafef734e7"",""entity_type"":""channel-linear"",""score"":0.7317022512535731,""entity_name"":""Hip-Hop Nation""}]"
03a7dd65-dc18-4569-93ed-70cc2fdc938f,genre,Reggae,"[{""entity_id"":""881c9b1f-e7fd-4637-b87a-0dd06f1831a5"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""Bob Marley's Tuff Gong""},{""entity_id"":""ac00ab0c-0a60-63bb-32fe-44e8b9be24fd"",""entity_type"":""channel-linear"",""score"":0.6560823973372203,""entity_name"":""Shaggy Boombastic Radio""}]"
1026ee80-f147-4d7a-aaed-92337aebd343,genre,Latin,"[{""entity_id"":""23771c8c-4631-0fa1-2038-b793bc7e404b"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""Águila""},{""entity_id"":""53b80144-2cb1-e723-07fd-6b164434b186"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""Caliente""}]"
152c138f-15ec-4514-9129-0e8be5bcaf0c,genre,R&B,"[{""entity_id"":""7b32233d-bf01-9654-d97f-9e261aad3d8f"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""The Groove""},{""entity_id"":""25de1705-19ad-6f6e-d45f-3f8775a37800"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""Heart & Soul""},{""entity_id"":""aa46ae69-ab44-f416-58ee-9fdf07462c0e"",""entity_type"":""channel-linear"",""score"":0.6711399493015828,""entity_name"":""Smokey's Soul Town""},{""entity_id"":""05cd3a1a-d292-3b8e-e8c9-1566d0726994"",""entity_type"":""channel-linear"",""score"":0.640512276778088,""entity_name"":""SiriusXM FLY""},{""entity_id"":""c2a517d4-c02f-06eb-77cf-f81bfa719188"",""entity_type"":""channel-linear"",""score"":0.6294712221224968,""entity_name"":""The Heat""}]"
1d81e9dc-073c-40b8-add4-2d4d8dda1c0f,genre,2000s,"[{""entity_id"":""d3253c66-e1e1-331b-02e6-71580c33791b"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""Y2Kountry""},{""entity_id"":""44f9129f-579a-3d23-218f-3c3518036fc6"",""entity_type"":""channel-linear"",""score"":0.8183093107485001,""entity_name"":""PopRocks""},{""entity_id"":""f936a498-89c7-bc15-f158-19a015db0683"",""entity_type"":""channel-linear"",""score"":0.6590123435611834,""entity_name"":""SiriusXM Turbo""},{""entity_id"":""8156ef7f-df74-0d28-404a-8567b13dee05"",""entity_type"":""channel-linear"",""score"":0.5294459197111113,""entity_name"":""Jimmy Fallon Holiday Seasoning Radio""}]"
1f98046d-cbcd-4e14-8a66-c7544152cfe7,genre,Alternative & Indie,"[{""entity_id"":""32c4747f-8739-d578-62d8-08a92d518445"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""Lithium""},{""entity_id"":""65f04311-3581-256c-97b9-279838d6ff5e"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""1st Wave""},{""entity_id"":""fd5740ec-7f11-0ecf-f676-46f9dc056d2c"",""entity_type"":""channel-linear"",""score"":0.716637006396238,""entity_name"":""Alt Nation""},{""entity_id"":""41f8b174-fb06-1707-aaa7-e74e109c2ee9"",""entity_type"":""channel-linear"",""score"":0.5984697491820608,""entity_name"":""The Coffee House""}]"
301267c3-52d7-4f5e-85c4-cea88b12a34f,genre,Rock,"[{""entity_id"":""7a642de7-c33f-a628-efb2-3d94a829d17b"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""Classic Rewind""},{""entity_id"":""1898923d-071d-0abd-1a62-ed0d2702d4f1"",""entity_type"":""channel-linear"",""score"":0.8415411345965009,""entity_name"":""The Bridge""},{""entity_id"":""9150cc82-af5c-3be3-d170-0e81d87375a8"",""entity_type"":""channel-linear"",""score"":0.805540160114416,""entity_name"":""Yacht Rock Radio""},{""entity_id"":""5ad8659a-414a-9e26-b973-f5a229d788dd"",""entity_type"":""channel-linear"",""score"":0.7713560676034099,""entity_name"":""Classic Vinyl""}]"
328cd004-dc61-4a11-ae08-14a468959ff0,genre,Comedy,"[{""entity_id"":""80867fa3-093f-b076-bedc-af8d71cb54ab"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""Faction Talk""},{""entity_id"":""96f5d0e4-ebff-564a-6c39-70a4a642e360"",""entity_type"":""channel-linear"",""score"":0.8859722807106482,""entity_name"":""Netflix Is A Joke Radio""},{""entity_id"":""d7151f52-694d-64b7-4e31-9b2f4f534454"",""entity_type"":""channel-linear"",""score"":0.7902852992030189,""entity_name"":""Pure Comedy""},{""entity_id"":""3cebb3a3-6b03-2ad2-e5be-d9f4841249a2"",""entity_type"":""channel-linear"",""score"":0.7804817778536778,""entity_name"":""Comedy Roundup""},{""entity_id"":""771bf1f6-3885-aa77-e98a-51f5dcccbeba"",""entity_type"":""channel-linear"",""score"":0.7153754600897511,""entity_name"":""Comedy Central Radio""}]"
364d2811-9199-4b92-8409-3b2f823bcc65,genre,Sports Talk,"[{""entity_id"":""51f88432-8311-37e0-b57d-9b0ab63f5ce9"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""ESPN Radio""},{""entity_id"":""66e0c959-ced8-2958-5d2c-c19ca4f770a4"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""Fantasy Sports Radio""},{""entity_id"":""c875a2e9-2768-ed46-5487-4e3e667ae553"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""SiriusXM NASCAR Radio""},{""entity_id"":""f3126d70-09ea-bd0c-57cd-af5ab798f313"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""SiriusXM NFL Radio""},{""entity_id"":""23999ddf-2cc2-35e2-7d04-6cc2749043d0"",""entity_type"":""channel-linear"",""score"":0.8478265734801979,""entity_name"":""Mad Dog Sports Radio""}]"
3653b422-22b0-448e-bd38-85060f77a8c1,genre,Business,"[{""entity_id"":""2b6effb8-eb0e-7421-d7bb-d843a9ff3ce1"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""CNBC""},{""entity_id"":""9a32cb1d-e158-5f34-79be-cbeaca00cd11"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""FOX Business""},{""entity_id"":""f4a5f723-128d-c383-1787-291d52f47020"",""entity_type"":""channel-linear"",""score"":0.7372002425188379,""entity_name"":""FOX News Headlines 24/7""}]"
3d587e0b-48a9-4a30-b549-03478112e368,genre,Classical,"[{""entity_id"":""c46c9810-6274-a715-a8b9-de9d4ac33873"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""Symphony Hall""},{""entity_id"":""906e5792-c7fe-5ea8-90f0-002dcfaa34fe"",""entity_type"":""channel-xtra"",""score"":0.27983955061732,""entity_name"":""Classical for Sleep""}]"
3f825bad-54c8-4078-b17e-84893e7683ad,genre,2010s,"[{""entity_id"":""d3253c66-e1e1-331b-02e6-71580c33791b"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""Y2Kountry""},{""entity_id"":""9e8d6f72-0b59-85cf-a222-b18d38acdc0f"",""entity_type"":""channel-linear"",""score"":0.6424538687380777,""entity_name"":""The Pulse""},{""entity_id"":""8156ef7f-df74-0d28-404a-8567b13dee05"",""entity_type"":""channel-linear"",""score"":0.5294459197111113,""entity_name"":""Jimmy Fallon Holiday Seasoning Radio""}]"
