talent_entity_id,talent_name,talent_type,related_entity_id,related_entity_type,relationship
db997c4b-66a0-4a4f-95fc-1f13157f4172,Joy Reid,HOST,13d5d2f3-ecaa-38a9-acc1-42c75c2b58f1,show-podcast,HOST
8ad46c02-0ae2-4a8a-acb9-5b4b716600af,Jim Duquette,SXM_HOST,869855d7-4e5b-4833-93ed-b06b5b033784,show,HOST
8b74ce98-5fe1-4c0b-adf2-d6d26da4a9bf,Michael Fabiano,SXM_HOST,ca54ad16-541d-44be-61f8-9fe6f31c8040,show,HOST
68482535-9a25-4411-8286-56ff28e32d8e,Caity Babs,SXM_HOST,73553275-0d3f-f980-cd86-f212fe86e38b,show,HOST
23d6b91e-5b90-4c4d-9ac0-48c79034beb3,Christopher Russo,SXM_HOST,f7853fbf-a8a6-b0ed-28d5-8961d0be7d96,show,HOST
576e0cc7-63eb-41e7-88c3-7be1bad19043,Billy Joel,ARTIST,794a6955-8315-7027-3482-535fd249a0de,show,HOST
1dfbce37-46f6-4e26-aec1-d0519939eed4,John Tartaglia,SXM_HOST,98865d8b-db09-412e-9732-3429ab910137,show,HOST
4d9640d8-35ef-47f7-9fed-fa10d49a4b78,Howard Stern,SXM_HOST,f306b8d3-d0e5-e3d1-e03e-f64adf98a7ac,show,HOST
62304359-cd8e-4c03-b070-af4d00b43273,Dana Carvey,HOST,5379c67f-e2c6-3b2e-9798-08f08614cd42,show-podcast,HOST
de372321-84e2-4506-a55d-2704bbf56f85,Neil Young,ARTIST,428f3f62-aed2-0502-bddd-1a77f2788b7a,show,HOST
5ee3bf3c-abf5-4b90-a78a-c9a94d23c735,David Fricke,SXM_HOST,03f0c122-97a0-27ec-100e-5584c058f2a0,show,HOST
ae3a96db-2291-4913-a4f4-8be838c8ec30,Bonnie McFarlane,ARTIST,68828dc2-d040-391d-8973-92e11ab564b6,show-podcast,HOST
576e0cc7-63eb-41e7-88c3-7be1bad19043,Billy Joel,ARTIST,9abcc96c-36d7-4399-bdad-f508cbacbf0f,show,HOST
fb03def4-df1a-492e-ade8-41a47a3a183e,Bing Crosby,ARTIST,4088aa02-3c7e-0a17-889a-26d8f135798d,show,HOST
a5caab89-3fd3-4774-b6eb-86787d847981,Mark Levin,SXM_HOST,a812dbef-a734-48f3-99f3-0a1284ce7575,show,HOST
25cf7d58-a248-4778-af00-027a434b31f1,Bill Gaither,ARTIST,15f2ff0b-fac2-bb47-8ece-fb09320b839d,show,HOST
3c13422a-0df2-47b9-8cb0-50c10dbd5ba8,Heather B,SXM_HOST,eec77cbe-a79a-2494-867d-a6c0d6a9e4e6,show,HOST
1f574be0-7427-4827-8bda-034d132e8a03,Stephanie Ruhle,HOST,abc1a01f-ed4a-3f04-86ee-d255bcaf440d,show-podcast,HOST
a9a23ed6-2bf3-486b-85fc-2f9dd822c49f,Guy Raz,SXM_HOST,f2a86f1a-d4dd-573d-ebdf-ee9025d7a7d5,show,HOST
4704faf8-123e-4070-859d-4bcf2005f71a,Andrew Schulz,ARTIST,cd404112-95e0-3040-9dde-1147f8b4c7a9,show-podcast,HOST
db8ce726-cf14-4e66-8fcf-12ec5ef972b4,Travis McElroy,HOST,0d76a09c-5b07-3c64-93a1-b726880b17e9,show-podcast,HOST
397f99b7-e204-4ff1-8be7-971654076a70,Jackson Browne,ARTIST,1cdbbb6d-72bc-7e41-1539-42409873a19a,show,HOST
e6a9f06c-5e00-45b3-a838-d0ecf17b1954,The Edge,ARTIST,827aaaa1-c1bf-ae19-79a2-104cdeef2acc,show,HOST
67390169-c16a-459b-ab99-bf591c4b1777,Jon Lovett,SXM_HOST,8b97a469-aebf-4186-9989-462a0ceb7b51,show,HOST
